Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
1/5/2022,172.1008606,177.2662478,171.8253745,176.7152756,94537600
1/6/2022,169.2279358,172.4747538,168.8737372,169.9166511,96904000
1/7/2022,169.3952026,171.3334541,168.2735762,170.1035999,86709100
1/10/2022,169.414856,169.7198574,165.4596412,166.3549785,106765600
1/11/2022,172.2582703,172.3566496,168.0669333,169.5427581,76138300
1/12/2022,172.7010498,174.3244514,172.002501,173.2815374,74805200
1/13/2022,169.414856,173.7734515,169.0212937,172.9469932,84505800
1/14/2022,170.2806854,170.9792341,168.3325857,168.5785566,80440800
1/18/2022,167.0633698,169.7592001,166.6796559,168.7458016,90956700
1/19/2022,163.5509338,168.3227743,163.2656143,167.2601785,94815000
1/20/2022,161.8586273,166.9453019,161.533944,164.2888201,91420500
1/21/2022,159.7924957,163.6493166,159.684268,161.7700958,122848900
1/24/2022,159.0151978,159.6842461,152.2067278,157.4409936,162294600
1/25/2022,157.2048645,160.1368324,154.4893521,156.4177549,115798400
1/26/2022,157.1163177,161.740566,155.2764609,160.8649105,108275300
1/27/2022,156.6539001,161.1994362,155.7290474,159.831839,121954600
1/28/2022,167.5848083,167.6044902,160.1761699,163.0392733,179935700
1/31/2022,171.9631348,172.1795903,166.7780652,167.4175984,115541600
2/1/2022,171.7958527,172.0221416,169.5329182,171.2055167,86213900
2/2/2022,173.006012,173.0453757,170.5364706,171.9335829,84914300
2/3/2022,170.1134186,173.3996002,169.3459908,171.667956,89418100
2/4/2022,169.8277283,171.5123188,168.1431378,169.1282745,82465400
2/7/2022,169.1085968,171.3645536,168.409143,170.290758,77251200
2/8/2022,172.2314758,172.7437512,168.8820015,169.1775456,74829200
2/9/2022,173.6599426,174.0244385,172.3004488,173.4333653,71285000
2/10/2022,169.5617371,172.8717972,169.0002169,171.5517176,90865900
2/11/2022,166.1334839,170.5074941,165.5423957,169.7686414,98670700
2/14/2022,166.3699036,167.0594963,164.084379,164.8823374,86185500
2/15/2022,170.2217712,170.3793967,167.7195305,168.4288302,62527400
2/16/2022,169.9853516,170.763603,167.5225097,169.2957588,61177400
2/17/2022,166.3699036,169.3548668,165.9659939,168.4879416,69589300
2/18/2022,164.8133698,168.005203,163.7198674,167.2959184,82772700
2/22/2022,161.8776703,164.2124395,159.7399104,162.5278491,91162800
2/23/2022,157.6908569,163.6804755,157.3756059,163.0795415,90009200
2/24/2022,160.3211975,160.4295632,149.7408209,150.3122022,141147500
2/25/2022,162.399826,162.6658022,158.4789703,161.4048281,91974200
2/28/2022,162.6657715,162.9613155,160.0157513,160.6363922,95056600
3/1/2022,160.7743073,164.1237811,159.5625933,162.2520123,83474400
3/2/2022,164.0843658,164.8724782,160.5280218,161.946621,79724800
3/3/2022,163.7592926,166.3994671,163.0894068,165.9660045,76678400
3/4/2022,160.7447815,163.0894121,159.6906929,162.0451694,83737200
3/7/2022,156.932312,162.5672963,156.6761668,160.9319654,96418800
3/8/2022,155.0999146,160.4590603,153.4842911,156.4594079,131148300
3/9/2022,160.5280609,160.9812305,157.0406828,159.0799084,91454900
3/10/2022,156.1638794,158.0060803,153.6616237,157.8189019,105342000
3/11/2022,152.4302368,156.912613,152.2036595,156.567809,96970100
3/14/2022,148.3812866,151.8292651,147.8690264,149.1989519,108732100
3/15/2022,152.7848358,153.2577122,148.1448507,148.6571109,92964300
3/16/2022,157.2179718,157.6218815,152.1642304,154.715731,102300200
3/17/2022,158.2326965,158.6070534,155.2871466,156.2525766,75615400
3/18/2022,161.5427246,162.035293,157.3854462,158.1242988,123511700
3/21/2022,162.921936,163.87752,160.5871515,161.0797199,95811400
3/22/2022,166.3108063,166.9018794,162.4589177,163.0499908,81532000
3/23/2022,167.68013,170.0740051,165.1581673,165.4931253,98062700
3/24/2022,171.4827728,171.5517246,167.6801441,168.5175014,90131400
3/25/2022,172.1230774,172.6747515,170.182357,171.2955662,80546200
3/28/2022,172.990036,173.1180936,169.4435374,169.6110088,90371900
3/29/2022,176.3001099,176.3493547,173.7190409,174.0638448,100589400
3/30/2022,175.1277771,176.9404252,174.0736735,175.8961826,92633200
3/31/2022,172.0147247,175.3838905,171.8078394,175.1967122,103049300
4/1/2022,171.7191772,172.2807124,169.3844081,171.4433402,78751300
4/4/2022,175.7878113,175.8370711,171.8472641,171.9753367,76468400
4/5/2022,172.4580536,175.6499024,171.8275666,174.8617899,73401800
4/6/2022,169.2760315,171.0492805,167.6013022,169.7981527,89058800
4/7/2022,169.5814362,170.7833042,167.3254797,168.6160064,77594700
4/8/2022,167.5619354,169.2268192,166.6851642,169.2268192,76575500
4/11/2022,163.2864227,166.5176702,163.0401385,166.2024342,72246700
4/12/2022,165.1680603,167.3452045,164.1632164,165.5227102,79265200
4/13/2022,167.8672791,168.4977659,164.2912432,164.9020231,70618900
4/14/2022,162.8332367,168.7243649,162.5869525,168.0840171,75329400
4/18/2022,162.6165161,164.123774,161.1388111,161.4835999,69023900
4/19/2022,164.911911,165.3256817,161.4737929,162.5672954,67723800
4/20/2022,164.7444305,166.3699154,163.6312361,166.2516887,67929800
4/21/2022,163.9464722,168.9805221,163.4440578,166.3994683,87227800
4/22/2022,159.3852692,165.3749024,159.0995861,163.985871,84882400
4/25/2022,160.4590912,160.7447743,156.1047882,158.7252408,96046400
4/26/2022,154.4694672,159.9271189,154.3906544,159.8384602,95623200
4/27/2022,154.2428589,157.4149852,153.0705438,153.5926651,88063200
4/28/2022,161.2077789,162.0747041,156.5677782,156.8830292,130216800
4/29/2022,155.3067932,163.7297149,154.9127445,159.4345184,131747600
5/2/2022,155.6122284,155.8782045,150.991934,154.3808073,123055300
5/3/2022,157.1096344,158.3213637,153.9966131,155.7994005,88966500
5/4/2022,163.5524292,164.0055837,156.8928943,157.296804,108256500
5/5/2022,154.4398804,161.641227,152.6469244,161.4146498,130525300
5/6/2022,155.1699677,157.3009932,152.1115505,153.9170015,116124600
5/9/2022,150.019989,153.7394156,149.4576439,152.8514808,131577900
5/10/2022,152.4371185,154.6372121,150.8783137,153.4335782,115366700
5/11/2022,144.5345917,153.3645176,143.8538461,151.4406814,142689800
5/12/2022,140.6474457,144.2386117,136.9378944,140.854635,182602000
5/13/2022,145.1363831,146.1131067,141.1900468,142.650187,113990900
5/16/2022,143.5874329,145.5408801,142.245678,143.5973083,86643800
5/17/2022,147.2378235,147.7607119,144.7121554,146.8629167,78336300
5/18/2022,138.9308014,145.3830558,138.0231306,144.8799032,109742900
5/19/2022,135.5073547,139.7595305,134.7674165,138.0034117,136095600
5/20/2022,135.7440948,138.8123718,130.8309105,137.2239709,137426100
5/23/2022,141.1900635,141.3380451,135.8033072,135.9414284,117726300
5/24/2022,138.4769592,140.0653604,135.4876103,138.9209191,104132700
5/25/2022,138.6348267,139.8877779,136.4840651,136.5728541,92482700
5/26/2022,141.851059,142.4035436,135.3001412,135.5467872,90601500
5/27/2022,147.6324463,147.671903,143.3112031,143.4394638,90978500
5/31/2022,146.8431854,148.6387759,144.8700171,147.0701106,103718400
6/1/2022,146.7149353,149.7042841,145.6987398,147.8889578,74286600
6/2/2022,149.1813965,149.2405891,144.8897494,145.8467372,72348100
6/3/2022,143.4295959,145.9848451,142.5219404,144.9291929,88570300
6/6/2022,144.1793976,146.5768047,142.9560279,145.0574568,71598400
6/7/2022,146.7149353,147.0010381,142.1667818,142.4134278,67808200
6/8/2022,145.9749908,147.859355,145.4816988,146.5866682,53950200
6/9/2022,140.7263641,145.9651236,140.6178393,145.1068002,69473000
6/10/2022,135.2902832,138.8715733,135.2212151,138.3980171,91437900
6/13/2022,130.1107635,133.3862161,129.676664,131.0874725,122207100
6/14/2022,130.9789124,132.0937573,129.7160858,131.3439587,84784300
6/15/2022,133.6130981,135.4974777,130.3869785,132.4883927,91533000
6/16/2022,128.3151398,130.6138828,127.3088197,130.3080441,108123900
6/17/2022,129.7950287,131.294641,128.0685062,128.3250277,134520300
6/21/2022,134.0471954,135.2212331,131.5314177,131.6300671,81000500
6/22/2022,133.5341949,135.9118517,132.1135111,132.9816951,73409200
6/23/2022,136.4150085,136.7307077,133.8104267,134.9844644,72433800
6/24/2022,139.7595215,140.0061675,137.8948779,138.0231237,89116800
6/27/2022,139.7595215,141.5649724,139.078776,140.7855624,70207900
6/28/2022,135.5961456,141.4959154,135.4777603,140.2232283,67083400
6/29/2022,137.3621063,138.7827899,134.8364533,135.6158632,66242400
6/30/2022,134.885788,136.5136458,131.9753677,135.4086764,98964500
7/1/2022,137.0661469,137.1746717,133.8400271,134.2149189,71051600
7/5/2022,139.6608582,139.7101904,135.0929685,135.9217106,73353800
7/6/2022,141.0026093,142.1865073,139.187298,139.4536799,74064300
7/7/2022,144.3866119,144.5839258,141.357791,141.3676515,66253700
7/8/2022,145.0673218,145.5704893,143.0546968,143.3112033,64547800
7/11/2022,142.9264374,144.6726955,141.8510643,143.7157077,63141600
7/12/2022,143.9031677,146.4584171,143.104037,143.8045033,77588800
7/13/2022,143.5381622,144.4852748,140.2133627,141.0717014,71185600
7/14/2022,146.4781799,146.9517362,141.3282084,142.1470752,78140700
7/15/2022,148.1553497,148.8360952,146.2117776,147.7705825,76259900
7/18/2022,145.0969543,149.5365835,144.7319079,148.7177168,81420900
7/19/2022,148.9741974,149.2011075,144.9390721,145.9355166,82982400
7/20/2022,150.9868469,151.657732,148.3526688,149.092607,64823400
7/21/2022,153.2658539,153.4829036,149.9015983,152.4272513,65086600
7/22/2022,152.0227509,154.1833726,151.3518808,153.3053133,66675400
7/25/2022,150.8980408,152.959998,150.2370312,151.9438175,53623900
7/26/2022,149.5661774,151.0361783,148.776907,150.2173115,55138700
7/27/2022,154.6865082,155.219272,150.1186342,150.5329977,78620700
7/28/2022,155.2390137,155.5251164,152.338454,154.8739673,81378700
7/29/2022,160.3297882,161.4347727,157.3601753,159.0768371,101786900
8/1/2022,159.3432159,161.395313,158.7315385,158.8499238,67829400
8/2/2022,157.8633423,160.2311535,157.4884505,157.9521463,59907000
8/3/2022,163.9012604,164.3550807,158.5934318,158.6822208,82507500
8/4/2022,163.5855255,164.9470165,162.2240345,163.7828393,55474100
8/5/2022,163.3582916,163.8522689,161.0365924,161.2440695,56697000
8/8/2022,162.8840485,165.788637,162.2221208,164.3659802,60276900
8/9/2022,162.9334869,163.8226552,161.2836044,162.0443337,63135500
8/10/2022,167.2014465,167.300233,164.8896212,165.6602247,70170500
8/11/2022,166.4605103,168.9303973,166.1641208,168.0115915,57149200
8/12/2022,170.0270081,170.096157,167.3595183,167.7744726,68039400
8/15/2022,171.1038666,171.3014545,169.2860337,169.4539841,54091700
8/16/2022,170.9458008,171.6176178,169.5923077,170.6988121,56377100
8/17/2022,172.4474792,174.0281976,170.4913334,170.6889213,79542000
8/18/2022,172.0522919,172.7932578,171.0346998,171.6571161,62290100
8/19/2022,169.45401,171.6472709,169.2465329,170.9458163,70346300
8/22/2022,165.5515442,167.8139534,165.1267159,167.6460029,69026800
8/23/2022,165.2156525,166.6778362,164.642637,165.0674653,54147100
8/24/2022,165.5120392,166.0850547,164.2474585,165.3045772,53841500
8/25/2022,167.9819031,168.0905787,166.3221467,166.7469599,51218200
8/26/2022,161.6491241,168.9896345,161.5898493,168.5154206,78961000
8/29/2022,159.4361115,160.9377915,157.8949048,159.208871,73314000
8/30/2022,156.9959106,160.6019399,155.8202419,160.1771265,77906200
8/31/2022,155.3262177,158.6457456,155.2471795,158.3789936,87991100
9/1/2022,156.057312,156.5117627,152.806933,154.7532047,74229900
9/2/2022,153.9332275,158.4284247,153.1033492,157.8257717,76957800
9/6/2022,152.6686401,155.1978018,151.8387618,154.5852747,73714800
9/7/2022,154.0813904,154.7828296,151.7596913,152.9551229,87449600
9/8/2022,152.5994873,154.4765952,150.8409141,152.7773119,84923800
9/9/2022,155.474411,155.9190026,152.8859748,153.5973033,68028800
9/12/2022,161.4614105,162.2814146,157.3811683,157.6676685,104956000
9/13/2022,151.9869537,158.6062475,151.5226138,157.9739571,122656600
9/14/2022,153.4392395,155.2076868,151.7597196,152.9254988,87965400
9/15/2022,150.5346375,153.3700774,149.556572,152.7871727,90481100
9/16/2022,148.8847504,149.5269299,146.5828144,149.3886168,162278800
9/19/2022,152.6192322,152.6982704,147.3040463,147.5115084,81474200
9/20/2022,155.0100708,156.1758651,151.2360921,151.5522297,107689800
9/21/2022,151.8683929,156.8279296,151.7498432,155.444784,101696800
9/22/2022,150.9002075,152.6093649,149.0922486,150.5445432,86652500
9/23/2022,148.6179962,149.6454774,146.770526,149.3688513,96029900
9/26/2022,148.9539185,151.9177822,147.8375249,147.8572883,93339400
9/27/2022,149.9319916,152.856344,148.1437961,150.900198,84442700
9/28/2022,148.0350952,148.8254618,143.0953228,145.8615984,146691400
9/29/2022,140.7637634,144.9526962,138.9854422,144.3401692,128138200
9/30/2022,136.5353241,141.3763107,136.3377362,139.5782261,124925300
10/3/2022,140.7341461,141.3466883,136.0314871,136.5452278,114311700
10/4/2022,144.3401794,144.4587292,142.5223314,143.2830607,87830100
10/5/2022,144.6365356,145.6047419,141.2873704,142.3346149,79471000
10/6/2022,143.6782379,145.7628228,143.4707759,144.0536655,68402200
10/7/2022,138.4025574,141.3763104,137.770267,140.8230431,85925600
10/10/2022,138.7285614,140.1808556,136.9008547,138.7285614,74899000
10/11/2022,137.3059235,139.6473861,136.5550834,138.2148399,77033700
10/12/2022,136.673645,138.6693177,136.4958204,137.4541376,70433700
10/13/2022,141.2676239,141.8603876,132.7514456,133.3639876,113224000
10/14/2022,136.7131653,142.7792061,136.5254515,142.5717289,88598000
